DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1002/smll.200900876,liquid,h+,-7,-1,(3-aminopropyl)triethoxysilane,25,,water
10.1109/ICSENS.2012.6411075,gas,toluene,-2.301029996,-0.301029996,4-aminophthalimide,25,-1,oxygen/nitrogen
10.1007/s12274-020-3063-7,gas,nitrogen dioxide,-2,9,molybdenum disulfide,25,-1,nitrogen
10.1016/j.orgel.2021.106341,liquid,cyanide,-1.584692708,3.415307292,"1-beta-D-glucopyranosyl-4-phenyl-1H-1,2,3-triazole",25,7,water
10.1016/j.mssp.2019.104911,liquid,glucose,2.556678726,3.100746771,zinc oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1117/12.897285,gas,nitrogen dioxide,-1.698970004,1,carbon nanotube,25,-1,oxygen/nitrogen
10.1016/j.sna.2021.113004,gas,carbon monoxide,2,3.602059991,cupric oxide,150,-1,oxygen/nitrogen
10.1016/j.apsusc.2014.10.097,liquid,h+,-5.28,-0.58,(3-aminopropyl)triethoxysilane,25,,water
10.1021/acsami.0c08555,liquid,hydrogen peroxide,-2.468393368,,boron carbon nitride,25,7,water
10.1016/j.ijhydene.2011.09.031,gas,hydrogen,1.176091259,4,palladium,25,-1,oxygen/nitrogen
10.1142/S0219581X11009222,gas,trinitrotoluene,-3,,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1016/j.snb.2023.134788,liquid,na+,-1.890084137,3.565847819,sodium ionophore x,25,7,water/glucose/saccharose/monosodium phosphate/calcium chloride/sodium chloride/4-(2-hydroxyethyl)-1-piperazine ethanesulfonic acid/potassium chloride
10.1016/j.snb.2023.134788,liquid,k+,-0.024581979,2.494154594,valinomycin,25,7,water/glucose/saccharose/monosodium phosphate/calcium chloride/sodium chloride/4-(2-hydroxyethyl)-1-piperazine ethanesulfonic acid/potassium chloride
10.1016/j.snb.2023.134788,liquid,ca2+,0.049218023,,calcium ionophore ii,25,7,water/glucose/saccharose/monosodium phosphate/calcium chloride/sodium chloride/4-(2-hydroxyethyl)-1-piperazine ethanesulfonic acid/potassium chloride
10.1109/LED.2012.2220515,liquid,h+,-6,-2,(3-aminopropyl)triethoxysilane,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2024.136146,liquid,as3+,-1.125402231,,dithiothreitol,25,7,water
10.1109/JSEN.2023.3285892,gas,hydrogen fluoride,-0.659555885,1.77815125,lanthanum fluoride,25,-1,oxygen/nitrogen
10.1109/ICSENS.2010.5690237,liquid,sodium chloride,3.766710207,-0.233289793,polyvinyl chloride,25,7,water
10.1109/EDTM.2019.8731320,gas,ammonia,-4,,graphene,425,-1,oxygen/nitrogen
10.1039/c8an00032h,liquid,h+,-4.94,-3.84,(3-aminopropyl)triethoxysilane,25,,water
10.1002/advs.202302506,gas,ammonia,-2,0.698970004,zinc oxide,265,-1,oxygen/nitrogen
10.1002/advs.202302506,gas,hydrogen sulfide,-2,0.698970004,zinc oxide,265,-1,oxygen/nitrogen
10.1007/s42341-022-00381-0,gas,ammonia,0,,"6,13-bis(triisopropylsilylethynyl) pentacene",25,-1,oxygen/nitrogen
10.1016/j.aeue.2024.155337,gas,hydrogen,-11.87614836,-6.876148359,palladium,320,-1,hydrogen
10.1016/j.sna.2018.09.044,liquid,na+,-3.93930216,2.361727836,molybdenum disulfide,25,7,water
10.1016/j.sna.2018.09.044,liquid,hg2+,-1.998699067,1.001300933,molybdenum disulfide,25,7,water
10.1016/j.sna.2018.09.044,liquid,cd2+,-2.250209594,-0.250209594,molybdenum disulfide,25,7,water
10.1021/acsami.0c00803,gas,nitrogen dioxide,-3.096910013,1.698970004,"poly{3,6-dithiophen-2-yl-2,5-bis(2-decyltetradecyl)pyrrolo[3,4-c]pyrrole-1,4-dione-alt-thienylenevinylene-2,5-yl}",25,-1,oxygen/nitrogen
10.1557/adv.2016.330,liquid,sodium chloride,4.766710207,,silicon,25,7,water
10.3390/chemosensors9020020,liquid,h+,-8,0,3-aminopropyltriethoxysilane/silicon dioxide,25,,water
10.1021/acssensors.3c00653,gas,hydrogen sulfide,-1.698970004,0,platinum,150,-1,oxygen/nitrogen
10.1021/nl401169k,liquid,h+,-6,-3,"8-hydroxy-1,3,6-pyrenetrisulfonic acid",37,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1149/07513.0011ecst,gas,isopropanol,-6,,graphene,21,-1,oxygen/nitrogen
10.1016/j.matlet.2021.129370,gas,nitrogen dioxide,0,1.477121255,copper phthalocyanine,18,-1,oxygen/nitrogen
